trip_id,arrival_time,departure_time,stop_id,stop_sequence
10114110,7:40:00,7:40:00,0100RCN,20
10114110,7:45:00,7:45:00,0100RRD,21
10114110,7:50:00,7:50:00,0100CBR,22
10114110,7:55:00,7:55:00,0100RBJ,23
10114110,8:00:00,8:00:00,0100DPA,24
10114110,8:05:00,8:05:00,0100MRC,25
10114110,8:10:00,8:10:00,0100RRP,26
10114110,8:15:00,8:15:00,0100RES,27
10114110,8:20:00,8:20:00,0100RKH,28
10114110,8:25:00,8:25:00,0110VMT,29
10114110,8:30:00,8:30:00,0100RRJ,30
10114110,8:35:00,8:35:00,0110UNA,31
10114110,8:40:00,8:40:00,0110AUK,32
10114110,8:45:00,8:45:00,0110MTS,33
10114110,8:50:00,8:50:00,0100TCP,34
10114110,8:55:00,8:55:00,0110TPA,35
10114110,9:00:00,9:00:00,0110AGK,36
10114110,9:05:00,9:05:00,0100LHH,37
10114110,9:10:00,9:10:00,0111ARA,38
10114111,6:00:00,6:00:00,0111ARA,1
10114111,6:05:00,6:05:00,0101JHS,2
10114111,6:10:00,6:10:00,0101STP,3
10114111,6:15:00,6:15:00,0111SPS,4
10114111,6:20:00,6:20:00,0101WBR,5
10114111,6:25:00,6:25:00,0101AGA,6
10114111,6:30:00,6:30:00,0111OLB,7
10114111,6:35:00,6:35:00,0101CPK,8
10114111,6:40:00,6:40:00,0111RHK,9
10114111,6:45:00,6:45:00,0111MRE,10
10114111,6:50:00,6:50:00,0111BEK,11
10114111,6:55:00,6:55:00,0111TUN,12
10114111,7:00:00,7:00:00,0111RHR,13
10114111,7:05:00,7:05:00,0111VMA,14
10114111,7:10:00,7:10:00,0111KRU,15
10114111,7:15:00,7:15:00,0101REE,16
10114111,7:20:00,7:20:00,0101ROR,17
10114111,7:25:00,7:25:00,0101ROK,18
10114111,7:30:00,7:30:00,0111ROT,19
10114111,7:35:00,7:35:00,0101SHR,20
10114111,7:40:00,7:40:00,0101DPB,21
10114111,7:45:00,7:45:00,0111RST,22
10114111,7:50:00,7:50:00,0101RCK,23
10114111,7:55:00,7:55:00,0101RDC,24
10114111,8:00:00,8:00:00,0101RCC,25
10114111,8:05:00,8:05:00,0111BPY,26
10114111,8:10:00,8:10:00,0101SLT,27
10114111,8:15:00,8:15:00,0111LON,28
10114111,8:20:00,8:20:00,0101PMR,29
10114111,8:25:00,8:25:00,0101PMV,30
10114111,8:30:00,8:30:00,0101IGA,31
10114111,8:35:00,8:35:00,0111MCM,32
10114111,8:40:00,8:40:00,0101KTO,33
10114111,8:45:00,8:45:00,0101GRJ,34
10114111,8:50:00,8:50:00,0101RMY,35
10114111,8:55:00,8:55:00,0111AMB,36
10114111,9:00:00,9:00:00,0101AME,37
10114111,9:05:00,9:05:00,0101CHC,38
10114111,9:10:00,9:10:00,0101FRK,39
10114111,9:15:00,9:15:00,0111NDS,40
10114111,9:20:00,9:20:00,0101REN,41
10114111,9:25:00,9:25:00,0111KAU,42
10114111,9:30:00,9:30:00,0101IAI,43
10114111,9:35:00,9:35:00,0101MCY,44
10114111,9:40:00,9:40:00,0111FRM,45
10114111,9:45:00,9:45:00,0101RED,46
10114111,9:50:00,9:50:00,0101BLU,47
10114111,9:55:00,9:55:00,0111KIO,48
10114111,10:00:00,10:00:00,0111BUK,49
10114111,10:05:00,10:05:00,0111SPU,50
10114111,10:10:00,10:10:00,0101ETA,51
10114111,10:15:00,10:15:00,0101ION,52
10114111,10:20:00,10:20:00,0101RIE,53
10114111,10:25:00,10:25:00,0113LMD,54
10116110,7:42:00,7:42:00,0100LPS,1
10116110,7:44:00,7:44:00,0100TIG,2
10116110,7:46:00,7:46:00,0100GVS,3
10116110,7:48:00,7:48:00,0100LMC,4
10116110,7:50:00,7:50:00,0100KCK,5
10116110,7:52:00,7:52:00,0100MRB,6
10116110,7:56:00,7:56:00,0110MKT,7
10116110,7:58:00,7:58:00,0110BAA,8
10116110,8:00:00,8:00:00,0100MOM,9
10116110,8:02:00,8:02:00,0100LIK,10
10116110,8:04:00,8:04:00,0100CHL,11
10116110,8:06:00,8:06:00,0100VIN,12
10116110,8:08:00,8:08:00,0100NJT,13
10116110,8:10:00,8:10:00,0100SHT,14
10116110,8:12:00,8:12:00,0110TVM,15
10116110,8:14:00,8:14:00,0100KSS,16
10116110,8:16:00,8:16:00,0100MIS,17
10116110,8:18:00,8:18:00,0100LSM,18
10116110,8:20:00,8:20:00,0100TTM,19
10116110,8:22:00,8:22:00,0100NAM,20
10116110,8:24:00,8:24:00,0110WAM,21
10116110,8:26:00,8:26:00,0100GUG,22
10116110,8:28:00,8:28:00,0100PEF,23
10116110,8:30:00,8:30:00,0110GTH,24
10116110,8:32:00,8:32:00,0100VEV,25
10116110,8:34:00,8:34:00,0100RBJ,26
10116110,8:36:00,8:36:00,0100DPA,27
10116110,8:38:00,8:38:00,0100MRC,28
10116110,8:40:00,8:40:00,0100RRP,29
10116110,8:42:00,8:42:00,0100RES,30
10116110,8:44:00,8:44:00,0100RKH,31
10116110,8:46:00,8:46:00,0110VMT,32
10116110,8:48:00,8:48:00,0100RRJ,33
10116110,8:50:00,8:50:00,0110UNA,34
10116110,8:52:00,8:52:00,0110MTS,35
10116110,8:54:00,8:54:00,0100TCP,36
10116110,8:56:00,8:56:00,0110TPA,37
10116110,8:58:00,8:58:00,0110AGK,38
10116110,9:00:00,9:00:00,0112LKT,39
10116111,6:00:00,6:00:00,0112LKT,1
10116111,6:05:00,6:05:00,0101JHS,2
10116111,6:10:00,6:10:00,0101STP,3
10116111,6:15:00,6:15:00,0111SPS,4
10116111,6:20:00,6:20:00,0101WBR,5
10116111,6:25:00,6:25:00,0101AGA,6
10116111,6:30:00,6:30:00,0111OLB,7
10116111,6:35:00,6:35:00,0101CPK,8
10116111,6:40:00,6:40:00,0111RHK,9
10116111,6:45:00,6:45:00,0111NTA,10
10116111,6:50:00,6:50:00,0111BEK,11
10116111,6:55:00,6:55:00,0111TUN,12
10116111,7:00:00,7:00:00,0111RHR,13
10116111,7:05:00,7:05:00,0111VMA,14
10116111,7:10:00,7:10:00,0111KRU,15
10116111,7:15:00,7:15:00,0101REE,16
10116111,7:20:00,7:20:00,0101ROR,17
10116111,7:25:00,7:25:00,0101ROK,18
10116111,7:30:00,7:30:00,0101SHR,19
10116111,7:35:00,7:35:00,0101DPB,20
10116111,7:40:00,7:40:00,0101RKJ,21
10116111,7:45:00,7:45:00,0101CAV,22
10116111,7:50:00,7:50:00,0111KEA,23
10116111,7:55:00,7:55:00,0101MUC,24
10116111,8:00:00,8:00:00,0101GOG,25
10116111,8:05:00,8:05:00,0111JEK,26
10116111,8:10:00,8:10:00,0101NTO,27
10116111,8:15:00,8:15:00,0101MCC,28
10116111,8:20:00,8:20:00,0101LSC,29
10116111,8:25:00,8:25:00,0101MIC,30
10116111,8:30:00,8:30:00,0101MDS,31
10116111,8:35:00,8:35:00,0111KIV,32
10116111,8:40:00,8:40:00,0101SHT,33
10116111,8:45:00,8:45:00,0101NJK,34
10116111,8:50:00,8:50:00,0101KAT,35
10116111,8:55:00,8:55:00,0101VRY,36
10116111,9:00:00,9:00:00,0101ZAK,37
10116111,9:05:00,9:05:00,0101LIK,38
10116111,9:10:00,9:10:00,0101MOM,39
10116111,9:15:00,9:15:00,0101MKB,40
10116111,9:20:00,9:20:00,0101KOB,41
10116111,9:25:00,9:25:00,0111BAA,42
10116111,9:30:00,9:30:00,0111MKT,43
10116111,9:35:00,9:35:00,0101KME,44
10116111,9:40:00,9:40:00,0101MRB,45
10116111,9:45:00,9:45:00,0101KCK,46
10116111,9:50:00,9:50:00,0101LMC,47
10116111,9:55:00,9:55:00,0101GVS,48
10116111,10:00:00,10:00:00,0101TIG,49
10116111,10:05:00,10:05:00,0113LMD,50
20000720,6:00:00,6:00:00,0211RUI,1
20000720,6:04:00,6:04:00,0210PRS,2
20000720,6:06:00,6:06:00,0200KTJ,3
20000720,6:08:00,6:08:00,0200EBR,4
20000720,6:10:00,6:10:00,0210MBL,5
20000720,6:12:00,6:12:00,0210KWD,6
20000720,6:14:00,6:14:00,0200TRT,7
20000720,6:16:00,6:16:00,0200MBC,8
20000720,6:18:00,6:18:00,0210TRT,9
20000720,6:20:00,6:20:00,0200SPH,10
20000721,6:00:00,6:00:00,0201SPH,1
20000721,6:05:00,6:05:00,0211TRT,2
20000721,6:10:00,6:10:00,0201MBC,3
20000721,6:15:00,6:15:00,0211KWD,4
20000721,6:20:00,6:20:00,0211MBL,5
20000721,6:25:00,6:25:00,0201EBR,6
20000721,6:30:00,6:30:00,0201KTJ,7
20000721,6:35:00,6:35:00,0211PRS,8
20000721,6:40:00,6:40:00,0211RUI,9
20006110,6:00:00,6:00:00,0210TEE,1
20006110,6:05:00,6:05:00,0210UYU,2
20006110,6:10:00,6:10:00,0210TER,3
20006110,6:15:00,6:15:00,0210KRB,4
20006110,6:20:00,6:20:00,0210GAO,5
20006110,6:25:00,6:25:00,0210MF,6
20006110,6:30:00,6:30:00,0210CAH,7
20006110,6:35:00,6:35:00,0210INA,8
20006110,6:40:00,6:40:00,0210NUR,9
20006110,6:45:00,6:45:00,0200UTI,10
20006110,6:50:00,6:50:00,0210IKE,11
20006110,6:55:00,6:55:00,0210NGR,12
20006110,7:00:00,7:00:00,0212KJT,13
20006111,6:00:00,6:00:00,0212KJT,1
20006111,6:05:00,6:05:00,0211NGR,2
20006111,6:10:00,6:10:00,0211PIO,3
20006111,6:15:00,6:15:00,0201PGF,4
20006111,6:20:00,6:20:00,0201CAL,5
20006111,6:25:00,6:25:00,0211GNK,6
20006111,6:30:00,6:30:00,0311PGP,7
20006111,6:35:00,6:35:00,0311PGG,8
20006111,6:40:00,6:40:00,0301MBP,9
20006111,6:45:00,6:45:00,0301MLG,10
20006111,6:50:00,6:50:00,0211KRM,11
20006111,6:55:00,6:55:00,0301SNT,12
20006111,7:00:00,7:00:00,0211YMY,13
20006111,7:05:00,7:05:00,0313EST,14
20023110,6:00:00,6:00:00,0213WTD,1
20023110,6:05:00,6:05:00,0210WTD,2
20023110,6:10:00,6:10:00,0810MSM,3
20023110,6:15:00,6:15:00,0212NBT,4
20023111,6:00:00,6:00:00,0212NBT,1
20023111,6:05:00,6:05:00,0201FIG,2
20023111,6:10:00,6:10:00,0211USM,3
20023111,6:15:00,6:15:00,0201KCL,4
20023111,6:20:00,6:20:00,0201AGH,5
20023111,6:25:00,6:25:00,0211GRF,6
20023111,6:30:00,6:30:00,0213WTD,7
20025110,6:00:00,6:00:00,0213BDT,1
20025110,6:05:00,6:05:00,0200BBC,2
20025110,6:10:00,6:10:00,0200KEN,3
20025110,6:15:00,6:15:00,0200CON,4
20025110,6:20:00,6:20:00,0210NVS,5
20025110,6:25:00,6:25:00,0210DRV,6
20025110,6:30:00,6:30:00,0210KCA,7
20025110,6:35:00,6:35:00,0210SUR,8
20025110,6:40:00,6:40:00,0210MTG,9
20025110,6:45:00,6:45:00,0210PNG,10
20025110,6:50:00,6:50:00,0200GNK,11
20025110,6:55:00,6:55:00,0210NGR,12
20025110,7:00:00,7:00:00,0210FIG,13
20025110,7:05:00,7:05:00,0210KNJ,14
20025110,7:10:00,7:10:00,0212BBT,15
20025111,6:00:00,6:00:00,0212BBT,1
20025111,6:05:00,6:05:00,0211KNJ,2
20025111,6:10:00,6:10:00,0211NGR,3
20025111,6:15:00,6:15:00,0211PIO,4
20025111,6:20:00,6:20:00,0201PNG,5
20025111,6:25:00,6:25:00,0211MTG,6
20025111,6:30:00,6:30:00,0211NYS,7
20025111,6:35:00,6:35:00,0211KCA,8
20025111,6:40:00,6:40:00,0211DRV,9
20025111,6:45:00,6:45:00,0211POA,10
20025111,6:50:00,6:50:00,0211XLE,11
20025111,6:55:00,6:55:00,0211AVA,12
20025111,7:00:00,7:00:00,0201DAW,13
20025111,7:05:00,7:05:00,0201CON,14
20025111,7:10:00,7:10:00,0201RUA,15
20025111,7:15:00,7:15:00,0201BLE,16
