type_id,starttime,stoptime,tripduration,start_lat,start_lon,end_lat,end_lon
121,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.17902,36.83742,-1.17441,36.83343
12D,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.312593,36.823773,-1.312743,36.824658
25A,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.269278,36.832431,-1.274634004,36.8244338
18C,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.259587,36.912356,-1.266779,36.906209
20,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.27978,36.90098,-1.275035,36.898525
26,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.290893555,36.87363625,-1.291666031,36.87191963
33UTW,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.284949,36.956518,-1.282876,36.959833
26S,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.259758472,36.87891483,-1.258342266,36.87887192
18C,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.254916,36.909958,-1.256158,36.90881
33UTW,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.305704,36.826707,-1.298596859,36.82368815
12D,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.326255798,36.84214711,-1.326953173,36.84238851
17A,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.2706,36.91307,-1.26892,36.91361
24C,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.364419,36.745237,-1.360407,36.747073
4W,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.298052,36.757968,-1.299031,36.762577
1961K,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.298668,36.892513,-1.299397,36.890125
26S,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.289257,36.861512,-1.292919,36.86259
34J,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.322971,36.899447,-1.338612,36.910735
